macd,macd_label,pizhut,piz_label
"We didn’t say the 2 for $5 Mix & Match deal was genius, but @dougiefresh1989 did. Come in and find out what matches you can make for $5",Positive,Petition to make this a real emoji. Sign by commenting  below.,Positive
"Find ya keys, go to McD’s and get on that 2 for $5 Mix & Match Deal.",Negative,#BeerAndPizzaDay is a thing for some reason so here's a diagram. @CoorsLight,Positive
Putting the 2 for $5 Mix & Match Deal in the deals hall of fame thanks to @TomG11_. Now are you more Big Mac and McNuggets or Filet-O-Fish and Classic Chicken Sandwich?,Negative,Chances of not ordering pizza during National Pizza Month:,Positive
"THIS  IS  NOT  A  DRILL  The new 2 for $5 Mix & Match Deal is here. Now, take @JuliaSantell’s advice and get on it!",Negative,"Dayum, the vegetarian-ness jumped out.",Neutral
Our 2 for $5 Mix & Match Deal is winning all kinds of hearts. @Maya_atCCU is a Big Mac & McNuggets kinda gal. Which 2 for 5 power couple have you fallen for?,Negative,Trying to sneak an entire pizza into the stadium like:,Positive
"If giving you 2 favorites for only $5 is a game, then we’ll agree with @BrockMay21 on this one. The 2 for $5 Mix and Match deal has officially changed the game!",Positive,Grabbin' that last slice like:,Neutral
How're you treating yourself after hitting the books all week? #BackToSchool,Positive,Friendly reminder to get your @Cinnabon Mini Rolls on #NationalCinnamonRollDay ,Negative
UNLIMITED. FREE. DELIVERY from McDonald’s (9.24 – 9.30). The deets? Order #McDelivery using promo code McDeliveryPassSept on @UberEats three times from 9.1 – 9.21. https://bit.ly/2sIknY2 ,Positive,Get you a friend who doesn’t judge how much pizza you can eat. ,Negative
"True or True: everything’s better in slo-mo, especially #cheese. ",Positive,You CAN sit with us. #MeanGirlsDay,Positive
"1 in 4 young people (21.8%) around the world are not engaged in employment, education or training? Here's how we're using our #ScaleforGood to continue empowering youth around the  http://mcdonalds.com/people ",Positive,Technically this is a salad.,Neutral
We’re investing $2 million in Chicago’s workforce and setting  goals to reduce barriers to employment for youth #ScaleforGood. Here’s how we’re going to get it done  http://mcdonalds.com/people ,Positive,Pizza + Football = Fantasy Football #NFL,Neutral
#ImTheHappiestWhen I see those bonus fries at the bottom of the bag.,Positive,Your mcm eats breadsticks like this. Wyd?,Neutral
The McDonald's app is the best thing that could have happened to your phone. Thanks for sharing.,Positive,"Hut Hut Win is a combination of our three favorite things: Pizza, football, and the chance to win millions of football prizes.",Positive
"MacCoins are here for #BigMac50!  TODAY, buy a Big Mac in the U.S. and get your hands on a MacCoin ",Negative,"No other pizza place has all 5:

1. Stuffed Crust
2. P'Zone
3. Thicc Wings
4. Cheez-It Pizza
5. Hate for Karen",Negative
"‘08-’18: Social media, emojis, and internet culture are  Launching us into the global 50th celebration! #BigMac50",Positive,The other wing guys trying to keep up.,Neutral
"'98-’08: With gritty, hand-drawn illustration, the early internet age looks good on the Big Mac!  #BigMac50",Negative,Haven't cried this much since we stopped selling the Bigfoot. #ThisIsUs,Positive
"'88-'98: It’s all about retro, abstract shapes in design and fashion and they create a rad environment for the 90's Big Mac!  #BigMac50",Negative,Hungry??  We've teamed up with @MatPatGT to throw the ultimate pizza party today with the new Stuffed Cheez-It Pizza!  All you have to do is show up! 3-5PT at 5212 Whitset Avenue near Hollywood.,Positive
"'78-'88: We’re in the early computer age when abstract, 3D landscapes were a thing. This 80’s future is the perfect backdrop for the 80's MacCoin!  #BigMac50",Positive,(𝓟)𝓮𝓹𝓹𝓮𝓻𝓸𝓷𝓲 (𝓢)𝓲𝔃𝓮 (𝓛)𝓪𝓻𝓰𝓮 #FirstDayOfFall #PSL,Neutral
'68-’78: Delivers “flower power” to celebrate the Big Mac’s introduction during the summer of love. Flowers and sunshine frame the Big Mac with good vibes!  #BigMac50,Positive,TFW mom says you can get extra cheese. #NFL,Negative
"Starting TOMORROW, celebrate #BigMac50! In the US, buy a Big Mac and get your hands on your own collectible MacCoin—with 5 unique designs for the 5 legendary decades. Check ‘em out below and Retweet your favorite decade ",Positive,"our wings
            (\__/)
         (•ㅅ•)
　＿ノ ヽ ノ＼  __
/　 `/ ⌒Ｙ⌒ Ｙ　 ヽ
( 　(三ヽ人　 /　　 |
|　ﾉ⌒＼ ￣￣ヽ　 ノ   
ヽ＿＿＿＞､＿＿／
　　｜( 王 ﾉ〈       (\__/)  the other
　　 /ﾐ`ー―彡\     (•ㅅ•)  guys' wings",Neutral
"It’s officially #McDelivery Day around the! If you didn’t score any
swag yet, ORDER your @McDonalds faves TODAY on @ubereats starting at 10:30am local time to get your Throwback gear, while supplies last. Thanks everyone who participated #McDelivery Day http://mcdeliveryatmcdonalds.com ",Positive,"If you're dating someone who doesn't eat pepperoni pizza you're single to us. Pizza is better than a smoothie, Karen.",Positive
"Thinkin’ ‘bout missin’ McDelivery Day? As if. 
Check out what we and @McDonalds have cooking up in your region: https://mcdeliveryatmcdonalds.com/ ",Positive,"Us rn:

|              |  
|              \
|                \
|         \
|      \
|  /
|     /
|        /
|                /
|               |

#NationalPepperoniPizzaDay",Positive
"Finishing your friend’s sunblock is cold, but the new #McCafe Cold Brew Frozen Drinks are colder. Try a small for $2.",Positive,"Hey @NFL, we think football should be served 7 days a week. Thoughts?",Positive
Free.  Fries.  Today  #NationalFrenchFryDay with FREE medium fries w/ min purchase of $1 (excl. tax).  Score yours on the App  https://bit.ly/ID2Upt ,Positive,Looking to spice up gameday? New player GIFs are here and they're . More dropping every week!,Positive
Celebrate #NationalFrenchFryDay tomorrow with FREE medium fries w/ min purchase of $1 (excl. tax) on the App only.  Score yours on the App  http://McD.to/6014DUZcj ,Positive,The real horror story is going back to an empty box. #AHS1984,Neutral
NO PURCH NEC. Ends 11:59:59 p.m. ET 7/15/18 but some trip prizes are awarded earlier. 50 US/DC 13+. Rules at http://Coke.com/shoutshare ,Positive,The other pizza guys' wings could never.,Negative
It’s EXTRA TIME in the McDonald’s Shout & Share a Coke FIFA World Cup™ Sweepstakes! There’s still 1000s of prizes to be won – but the  is ticking – so HURRY in to McDonald’s & keep cheering on your team for more chances to win!,Positive,She's here and she's beautiful  ,Positive
"This is @TimHowardGK attempting to explain the fine game of soccer to @isabelamoner!

Head to @McDonalds, Grab a @CocaCola  for a chance to win awesome FIFA #WorldCup prizes! #ad 

Rules at http://McD.to/6016DW0jM ",Negative,"Types of charts we like:

- pie
- that’s the end of the list",Neutral
Things colder than new #McCafe Cold Brew Frozen Drinks:,Positive,You know what they say about big wings. ,Positive
NO PURCH NEC. Ends 11:59:59 p.m. ET 7/15/18 but some trip prizes are awarded earlier. 50 US/DC 13+. Rules at http://Coke.com/shoutshare ,Positive,We're expecting something Cheezy. Due September 17th ,Positive
"There are still 1000s of awesome prizes waiting to be won in McDonald’s Shout & Share a Coke FIFA World Cup™ Sweepstakes, including a trip to France  in 2019 for the FIFA Women’s World Cup! Order up McDelivery  through Uber Eats & keep playing for chances to WIN!",Positive,The real unlucky ones are those who are on keto. #FridayThe13th,Negative
BEST. DAY. EVER.  #WorldCup,Positive,"Happy to join the #NFLHuddlefor100 with @firstbook to provide over 35,000 books for educators in the area! @NFL ",Positive
To the best advice giver/handyman/ joke teller/ tie wearer/ friend there could ever be: #HappyFathersDay! ,Positive,"Cultural impact:

     █          　　
     █　        
     █　        
     █　                      ＿
stuffed crust       new phone
  pizza              announcement",Positive
The #WorldCup is finally here! Share the excitement of each goal with your squad and #McDonaldsBreakfast. ,Positive,"""I can't believe he fumbled."" - me eating my 5th breadstick while sitting on the couch.",Positive
TFW you find out you’re going to the 2018 FIFA World Cup™  We surprised five lucky children with the once-in-a-lifetime opportunity to walk hand-in-hand with a soccer star as they take the field as McDonald’s Player Escorts! #WorldCup,Positive,Food for every part of game day.,Positive
NO PURCH NEC. Ends 11:59:59 p.m. ET 7/15/18 but some trip prizes are awarded earlier. 50 US/DC 13+. Rules at http://Coke.com/shoutshare ,Positive,#PizzaHutHut,Neutral
 You only have TWO DAYS left  to enter for your chance to score an EPIC trip to the 2018 FIFA World Cup™! Run to McDonald’s NOW to Shout & Share a Coke in support of your team because June 14 is the LAST DAY you could win! ,Positive,Only clowns take and bake. #ItChapter2,Neutral
"Yes, fries with that. #4WordStoryOfMyLife",Positive,You called it. The #HutHutWin Ultimate Fan Prize is a NFL Draft Vegas Trip! See how you could win this and millions of other prizes at http://huthutwin.com .  #PizzaHutHut,Positive
"Today we celebrate our commitment to protecting oceans w/ @MSCecolabel, we created “Reel It In”, the sustainable fishing game that’s fun for the whole fam! Download now: http://McD.to/playreelitin ",Negative,#NFLKickoff Vibes .,Neutral
NO PURCH NEC. Ends 11:59:59 p.m. ET 7/15/18 but some trip prizes are awarded earlier. 50 US/DC 13+. Rules at http://Coke.com/shoutshare ,Positive,Don't  say  cheese  if  you're  not  eating  cheese  during  the  photo. #NationalCheesePizzaDay,Neutral
"IT’S KICK-OFF TIME for the McDonald’s Shout & Share a Coke FIFA World Cup™ Sweepstakes! You could WIN a trip to the FIFA World Cup™ to witness all the soccer action, or 1000s of other incredible prizes. Get to a McDonald’s & start playing now!",Positive,Reply with your cheesiest Pizza Hut #TBT using #contest for a chance to win free pizza every Thursday for a year. #NationalCheesePizzaDay. NO PURCH NEC. Rules:,Positive
"You know what they say, time flies when you’re made of beef. We don’t know who “they” are or anything, but happy #NationalHamburgerDay",Positive,"RT for good luck:
  ___________  
      \____________/
       \  o   o   o  /
   \  o   o   /
           \   o   / 
  \ o /
               \/ ",Positive
"""That's the MIX"" the new song + music video by @SuperDuperKyle is now available on @Spotify and @YouTube! Check it out - https://youtu.be/T0jIhJfPfKA   Be sure to try #MIXbySpriteTropicBerry made w/ classic lemon-lime and natural  flavors available only at @McDonalds",Positive,"Hut Hut! We want YOU to make the call on the Ultimate Fan Prize for our NEW #HutHutWin game. The one of a kind experience receiving the most votes will be up for grabs via Hut Hut Win! Voting ends at midnight, 9/6. See http://huthutwin.com  for Official Rules. #PizzaHutHut",Positive
Check out our #ThatstheMIX lookbook and capsule collection designed by @joefreshgoods. Get a piece of the collection on 5/25! Available at select @mcdonalds locations. All the details -> http://mcdonalds.com/thatsthemix ,Positive,"Eat pizza, play #HutHutWin, then you could feel like JuJu. http://www.HutHutWin.com ",Positive
Thanks to all the amazing moms out there for all you do today and every day. Happy #MothersDay! ,Positive,Pizza is our 9 to 5. Happy #LaborDay.,Positive
"You did it, #Classof2018!  Congrats and good luck on your next adventure — you got this!  ",Negative,The perfect college football recipe: pizza + @pedialyte. ,Positive
"No matter how you get to work, 2 for $4 Mix & Match is always on the way! #McDonaldsBreakfast ",Negative,Walking into class late with the pizza that made me late. #worthit,Positive
"How can pairing a #McDonalds Coke with your order get any better? 
Trick question. It can’t. #NationalHaveACokeDay",Positive,Pizza Hut products according to your sign:,Neutral
"How to celebrate #NationalHaveACokeDay right:
Get a #McDonalds Coke.
Commence sipping.",Negative,"Big games are comin’ to The Hut… Pizza Hut Stadium  Tune into the Madden NFL Classic, @maddenleagueops, this weekend to see the new home of @EAMaddenNFL's biggest games! #Madden20",Positive
The question isn’t should you dip your fries in ranch. It’s how can you not?,Positive,Eating pizza with a fork. You hate to see it.,Positive
"Our door is always open, @TylerOakley. Or the drive-thru window...whichever you prefer. ",Neutral,Reply with your emotional support dog. #NationalDogDay,Neutral
Remember when you dreamed the McChicken was $1 on the #123DollarMenu? That wasn’t a dream.,Positive,"T-Swizzle's new album ""Meat Lover"" is already topping the charts.",Positive
New Season. New Drink. Same Motto: nothing comes before coffee. #McCafe,Positive,The glow up is almost too real. #backtoschool2019,Neutral
"“Here I come to save the day!” – #McCafe, probably",Neutral,Cure the Sunday Scaries one slice at a time.,Positive
We work towards our environmental goals on #EarthDay and beyond. We're partnering with franchisees to reduce greenhouse gas emissions related to our restaurants and offices by 36% by 2030 from 2015 levels. Find out more at https://bit.ly/2vDNShg ,Positive,"me: :(

the Meat Lover’s pizza I’m about to eat: 

.   °   * .   °  .
. *     *.   ° .  *


me: :)",Neutral
*Clears entire schedule for a weekend of binge watching and #McDelivery*,Positive,Me trying to be domestic.,Neutral
"You COULD high five someone today, but that would require putting down those fries soooo  #NationalHighFiveDay",Positive,Tag your forever pizza partner.,Negative
"The forms? Required. But, so is coffee. #McCafe, please.",Neutral,We're easily bought.,Neutral
"No matter how far technology advances, the only true sign that we're living in the future is getting a Quarter Pounder with Cheese delivered to my door. #McDelivery",Positive,Which lunch table are you sitting at?,Neutral
RT if you can’t imagine living in a world without  & ,Neutral,I made it to Whole 3.  ̄\_(ツ)_/ ̄,Positive
"Me: And for my final wish —
Genie: For the last time, the Bacon
McDouble is already $2 on the
#123DollarMenu.
Me: Don’t ruin this for me.",Positive,Eating pizza on the couch > wearing a swimsuit on national television. #BachelorInParadise,Neutral
"If you haven’t dipped a fry in a chocolate shake, have you even truly lived? #TuesdayThoughts",Negative,"Us for the next 6 months: 

 
 
 


 
 
 


 
 
 


 
 
 ",Positive
"Your mom won’t play faves, but you + your sibs can. Which NEW Turtle drink do you  most? #NationalSiblingsDay",Positive,Left wing. Right wing. It’s #WingWednesday. Let’s get saucy.,Negative
**Takes #BigMac out of bag to a round of soft golf clap applause**,Neutral,"Therapist: And what do we do when we feel this way?

Me: Use breadsticks to soak up the tears

Therapist: Yes",Positive
There’s #WorldFamous fry love and then there’s I-Just-Wrote-A-Song-About-#WorldFamous-Fry love.   ,Positive,100% dgaf. #TheBachelorette,Neutral
"If you show up with  and don’t assume they’re for sharing, I don’t know you.",Positive,Hot Wing Summer  #NationalChickenWingDay,Positive
It’s #NationalBurritoDay and you can get a Sausage Burrito for $1 on the #123DollarMenu! What a time to be alive! ,Positive,"Sorry I can't, I have a dip appointment.",Negative
"Me: It’s late, better head home
My brain: Fries
Me: But it’s after—
My brain:     
*pulls into drive thru*",Positive,Here's a slice of what went down in the Pizza Hut Lounge at #sdcc2019 this past weekend. https://bit.ly/2GsmqWC ,Positive
"Chocolate and caramel flavors together? Yes, please. Get in on the NEW Iced Turtle Macchiato from #McCafe.",Positive,He who pays for the pizza eats the first slice.,Positive
"Congrats on a  college career, @jalenbrunson1! Championship, player of the year, and ANOTHER championship! Making the Games family proud!  #WhereTheFutureStarts",Positive,"No one: 

Us: What if we put cheese INSIDE the crust? 

Absolutely no one: 

Us: AND the crust is made of tinier sections of cheesy crust?",Positive
“Sorry for the things I said when I was hungry.” – Basically every human being ever,Negative,Carrying it around since 1958. #TBT,Positive
We’d say we’re surprised but we’ve seen @Arike_O do this kind of thing before!  Congratulations on the dagger and the championship! #WhereTheFutureStarts,Positive,Your FaceApps are looking crusty but we love crust. ,Neutral
"Things we recommend: ordering fries with your #McNuggets.
Things we don’t recommend: doing anything that doesn’t involve our recommendation.",Negative, (-sp)'s the . #WorldEmojiDay,Neutral
We’re allocating $150 million to our #ArchwaysToOpportunity education program! Watch Dulce’s story to see why this program is important to restaurant employees.,Positive,The alien we saved from Area 51 waiting on the Out for Delivery text. #Area51 ,Neutral
The @McDAAG are finally here! Tune in TONIGHT to see the best high school basketball players in the country dominating the hardwood down in ATL! Can't wait to see what they can do! ,Positive,"Meet professional people person Kelly McCulloch, our Chief People Officer. Read the full story here: http://bit.ly/2lfHZlA .",Positive
Thanks to the 2018 @mcdaag for visiting @ARMHC! They know how to make highlights on and off the court. Check 'em out! #WhereTheFutureStarts,Positive,Can show up toppingless. #NationalNudeDay,Neutral
"When EVERYBODY gets out their seats, you did something right! @oliviaknelson ",Positive,Ranch Cult members welcome.,Positive
The top high school basketball players in the nation take the court at Jam Fest TOMORROW! Tune in to ESPN2 at 8pm (ET) to see what these athletes can do! #WhereTheFutureStarts,Positive,When the game is on vs. when there are literally no games on.,Neutral
McDonald’s All American Games kick-off this week!Follow @McDAAG to see what the top high school players in the game can do — on and off the court!,Negative,When you're upstairs but hear the delivery driver ring the doorbell.,Negative
Ever wake up in the morning remembering all the people that have snagged one of your #McNuggets without asking? Same.,Positive,NO PURCH NEC. Void where prohibited. Must be legal U.S. resident; 18+. Visit http://bit.ly/2LGqCWm  for full rules.,Negative
THESE. @ADIDAS. JERSEYS. ARE. The @McDAAG are going to look GOOD when they take the court in ATL. Who’s ready for Games week?! #WhereTheFutureStarts,Positive,"*    ∧_∧
（・o・）
＿|　⊃／(＿＿_
／　└-(＿＿＿_／
*whispers* reply tagging 2 of your friends and use hashtags #sweepstakes and #PizzaHutGotYou for the chance to win a special prize ",Positive
"The early worm gets McDonald's Breakfast. JK, it’s all day. ",Positive,"＜⌒／ヽ-、_＿
／＜_/＿＿＿＿／
￣￣￣￣￣￣￣

    ∧_∧
（・o・）bored...might give away free
＿|　⊃／(＿＿_    stuff later 
／　└-(＿＿＿_／
￣￣￣￣￣￣￣

＜⌒／ヽ-、_＿
／＜_/＿＿＿＿／
￣￣￣￣￣￣￣",Positive
2 for $4 Mix & Match? Oh the possibilities! Choose between these three select breakfast sandwiches to make your morning better. #McDonaldsBreakfast,Positive,How close I am to ordering pizza instead of eating the groceries I just bought yesterday:,Positive
Nothing makes us happier than making you happy. So happy #InternationalDayofHappiness everyone!,Positive,"┏┓
┃┃╱╲ in this
┃╱╱╲╲  hut
╱╱╭╮╲╲  we
▔▏┗┛▕▔    put
╱▔▔▔▔▔▔▔▔▔▔╲
    pineapple on pizza
╱╱┏┳┓╭╮┏┳┓ ╲╲
▔▏┗┻┛┃┃┗┻┛▕▔",Neutral
"To create a better future for our planet, we all need to be involved. Hear from our CEO, @SteveEasterbrk to learn how McDonald's is using its #ScaleForGood to do its part to address climate change. http://McDonaldsClimateAction.com ",Positive,July 4th at home w pizza > July 4th w strangers and a hot dog,Neutral
You don’t have to choose between your budget and bacon. Get a $2 Bacon McDouble from the #123DollarMenu.,Positive,"This might sound like a strange thing, but @eggo, should we collab on crust?",Neutral
"#FirstDayofSpring brings happiness and brighter days. Oddly enough, so does our coffee. #McCafe",Positive,The 2019 equivalent to keeping your loved ones in your wallet.,Neutral
"We’re committed to building a better McDonald’s, which means using our #ScaleForGood to be a responsible company. Learn more: http://www.McDonaldsClimateAction.com ",Positive,Proud to pizza since before kale.,Positive
"We came, we saw, we put a #ShamrockShake rainbow over #Chicago for #StPatricksDay. Get your mint on before they’re gone!",Negative,"nobody:
when the delivery driver arrives with Stuffed Crust: WHAT IT DO BAYBEEEEE",Negative
"Basketball announcer: This quarter, they've gotten pounded with 3's.
Me: ...did he say Quarter Pounder with Cheese?",Positive,When they order pizza but it's not Pizza Hut...,Positive
2 for $4 Mix & Match is here! Choose between 3 select breakfast sandwiches to make your busy morning a little bit better. #McDonaldsBreakfast,Positive,When the moon hits your eye like a big pizza pie:,Positive
"**Carves ""I love Big Mac"" into a tree trunk**",Negative,when they ask if you want wings with the pizza,Positive
Add something sweet (and savory) to every one of your tweets. Which hashtag will you use to unlock the McGriddles emoji? ,Negative,and I oop- https://twitter.com/burkesjangela/status/1141155075970273280 …,Positive
GAMES WEEK IS SO CLOSE! Just a couple weeks until @McDAAG takes over Atlanta! Get your tickets at Ticketmaster and at the Philips Arena! #WhereTheFutureStarts http://McD.to/6002DO8ge ,Positive,Kick off summer with @HollisterCo and ,Positive
"Green today, gone tomorrow. Get sipping on all the minty #ShamrockShake greatness before it’s gone.",Negative,"social experiment: if you come across this tweet, comment with the first Pizza Hut pizza that comes to mind under it WITHOUT reading the replies beforehand",Positive
"You + your wallet deserve to chill. Bacon would be nice, too. Get a $2 Bacon McDouble from the #123DollarMenu.",Positive,Sun all day. Pizza all night. (Maybe pizza all day too.)  #FirstDayofSummer,Neutral
"Rap legend, @Ludacris will be lighting up the court for a halftime performance at the 2018 McDonald's All American Games in Atlanta on 3/28. Don't miss it, get your tix here! http://McD.to/6002DO8ge  #WhereTheFutureStarts @McDAAG ",Positive,Our #1 pick is also known for dunking. #cheesybites,Positive
We’re thrilled to announce a multi-year alliance w/ @waltdisneyco! More details here: http://McD.to/6002DR7BC ,Positive,"Pizza, amirite?",Neutral
"Some people eat, sleep and breath curling during this time of year. We’re doing our best to make that first part possible.",Positive,"|￣￣￣￣￣￣￣|
|       CHEESY      |
|        BITES         |
|       IS BACK      |
| ＿＿＿＿＿____|
(\__/)  ||
(•ㅅ•) ||
/ 　 づ",Neutral
It’s green. It’s minty. And it’s back for a limited time in select locations. Download the Shamrock Finder app for iOS and Android to find a #ShamrockShake near you. ,Positive,"The way we see it, when you eat veggie pizza you’re basically eating a salad. #EatYourVegetablesDay",Positive
Help us out. Is it burritosled or burritosleigh?,Positive,"To the man who’s cheesier than a Cheese Lover’s pizza with extra cheese, we love you. But please drop us off a block from school. #HappyFathersDay",Negative
"Ski jump isn’t something you should try at home. Fries, on the other hand, are something we strongly recommend.",Positive,Stuffed Crust walked so Cheesy Bites could run.  https://twitter.com/ItsFoodPorn/status/1136481093685796864 …,Positive
The #ShamrockShake is officially back in select McDonald’s on 2/21 and ready to brighten up your winter days ,Positive,"{\__/}          {\__/}
( • . •)         (• . • )
/ >        / > < \
u want this? Yes

{\__/}     {\__/}
( • . •)     (• . •)
< \     / > < \
thought u said u want a summer bod

{\__/}     {\__/}
( • . •)    (• . • )
/ > < \    / >
I know what I said",Positive
"Today, we are announcing our new 2022 global #HappyMeal goals. Over the next several years, we'll be focusing on nutrition criteria, simplifying ingredients, transparent nutrition information, recommended food groups and responsible marketing: http://McD.to/CommitmentToFamilies …",Positive,"We’ve just read your horoscope: Today, you will eat pizza.

...Don’t make us a liar.",Positive
No purch nec. Ends 11:59:59 p.m. ET 2/14/18. 50 US/DC 13+. Rules at,Negative,Seven years later and we're still thinking about you. ,Positive
"BLING! BLING! BLING! It's officially the last day to “make it official” with the #BigMac burgers. Submit your vows of love to compete to win the Bling Mac — the one-of-a-kind, 18K gold, diamond-encrusted ring, that celebrates the Grand Big Mac, Big Mac, and Mac Jr.",Positive,#priorities,Neutral
"Game on! Run, jump and prove your love by collecting as many of the #BigMac, Mac Jr. and Grand Big Mac burgers as you can. Click below to play now!",Positive,Meet Pizza Ye.,Neutral
"Save on lunch now with the $3 Classic Chicken Sandwich from the new $1 $2 $3 Dollar Menu, so you can splurge on an upgrade later.",Positive,"If Nicolas Burquier wasn’t our Chief Customer and Operations Officer he’d be a downhill skier, but we’re glad he ended up here. Learn more about Nicolas: http://bit.ly/2wL0P6F ",Positive
"My sweet, sweet Big Mac. The first time I kissed you my friends thought I was weird. They said just eat your burger but instead I shed tears. I cried for hours & even wrote you a song for when I finally eat you. I’ll always remember the first bite. #BlingMacContest @McDonalds #ad",Positive,"The only thing better than splitting pizza with a friend, is splitting pizza with a friend who eats less than you. #NationalBestFriendsDay",Positive
No purch nec. Ends 11:59:59 p.m. ET 2/14/18. 50 US/DC 13+. Rules at,Negative,who can relate? ,Neutral
The love for the Big Mac burgers is palpable. The depth. The realness. The...ridiculousness. Tweet your most devoted vows of Big Mac burger love to @McDonalds with #BlingMacContest to compete to win the gratuitously blingtastic Bling Mac!,Negative,IQ level = ,Neutral
No purch nec. Ends 11:59:59 p.m. ET 2/14/18. 50 US/DC 13+. Rules at,Negative,"Not to be extra or anything, but we like extra extra extra
cheese #NationalCheeseDay http://bit.ly/2ET1Vlr ",Positive
"Nothing says, ""I love you” like this one-of-a-kind, 18k gold ring, encrusted with diamonds, created by @nadineghosnjewelry. Tweet @McDonald’s with #BlingMacContest and your funniest, most creative vows of love to the Big Mac burgers to compete to win the Bling Mac! ",Negative,Love is love is love. Heart-Shaped Pizza available at participating locations. #PrideMonth,Negative
"Wanna put a ring on it? Compete to win the Bling Mac by tweeting the vows you feel in your heart for the Grand Big Mac, Big Mac or Mac Jr. Be sure to add your own Special Sauce! http://PlayatMcD.com/BlingMacContest ",Positive,"As we close out #NationalCancerResearchMonth and our 61st birthday, our #FridayFeeling is about how simple it is to potentially save a life. Sign up with @BetheMatch and you could make an incredible impact with a bone marrow donation.",Positive
There's only room in the life boat to save one. Which do you love the most?,Neutral,"61 years old, but still lookin’ fresh out the oven. ",Positive
Did you know today is National Send a Card to a Friend Day? We didn’t either. If only we could send something a little more delicious #TheFriesWeShare,Positive,RT if you’re an Original Pan stan.,Neutral
No purch nec. Ends 11:59:59 p.m. ET 2/14/18. 50 US/DC 13+. Rules at http://PlayatMcD.com/BlingMacContest ,Positive,Life is basically just a pizza eating contest with lots of breaks in between.,Neutral
"We may have to wait a few weeks for spring, but fries are always in bloom!   Happy #GroundhogDay",Positive,Tag your gluten intolerant friend who still eats pizza when they’re drunk (and also doesn’t know we do GF crust) .,Positive
"McRib fans did weird things to show their love. But one fan touched our saucy hearts. So, we flew her out to claim a much-deserved prize: the very last McRib of the 2017 season. #LastMcRibContest",Negative,Welcome to our crib...this is where the magic happens ,Positive
“Should I get a 4 pc. #McNugget or 10 pc.?” A memoir,Positive,Never gonna,Positive
Busy morning  Quick breakfast  Keep it easy on your wallet too with the new $1 $2 $3 Dollar Menu.,Positive,#EatingMyFeelings,Neutral
"Sometimes, choosing the right meal for the right time requires a little help. Let this quiz be your guide.",Positive,The best thing about being an adult is that you can host pizza parties anytime you want. Show us how you’re throwing down today. #NationalPizzaPartyDay,Positive
Whoever said pies have to be round is totally square. Happy #NationalPieDay.,Positive,"Sometimes you have to let the chips fall where they may. And hopefully, that’s our mouth. #NationalChocolateChipDay",Neutral
"Can you tell @McDonalds is changing for the better? They’re ringing in 2018 with the new #123DollarMenu! To celebrate a year of good fortune and value, I’ve partnered with them to create their first Lunar New Year red envelopes. Here’s a sneak peak: http://bit.ly/2Drrryp  #ad",Positive,"Find out more about what inspires School Board Trustee, Cinnabon enthusiast, adolescent prank master and Pizza Hut Chief Development Officer, Al Litchenburg. https://bit.ly/2E98m3k ",Positive
Congrats to the final 48 who made the 2018 @McDAAG roster! These boys and girls are at the top of the  game! It’s going down in ATL in March  #WhereTheFutureStarts http://McD.to/6007DKNa3 ,Positive,Wanna get the first impression rose? Arrive with Pizza. #TheBachelorette ,Positive
"Seize whatever day it is, with the new $1 $2 $3 Dollar Menu.",Positive,Pizza delivery is cheaper than flower delivery. Just saying. ,Neutral
"We are stepping up and using our #ScaleforGood. By 2025 our goals are to recycle guest packaging at all McDonald’s restaurants, recognizing infrastructure challenges, and that 100% of guest packaging will come from renewable, recycled or certified sources: http://McD.to/PackagingAndRecycling …",Positive,It has come to our attention that TODAY is #EatWhatYouWantDay and not every day of the year.,Positive
"You've got options. Create the meal you want, with our new $1 $2 $3 Dollar Menu.",Positive,"We take the cheese

　 ＼(´･_･＼)
　 　(　 　)
　 　く く

And put it in the crust

      　( ´･_･`)
　     (＼　 )＼
　 　 ＞   ＞   ",Neutral
And the award goes to … the new #123DollarMenu *applause erupts*,Positive,When the delivery driver hands over the pizza..,Neutral
10 Pc. Chicken #McNuggets  Now it's time to flip a coin and find your 2nd McPick fave. Comment yours below!,Positive,#priorities ,Neutral
Meet McDonald’s new $1 $2 $3 Dollar Menu. Get all your favorites (without spending all your cash).,Negative,"If U.S. currency were replaced by Pizza Hut, which would you rather carry around in your pockets?",Positive
Large #McCafe coffee is your best friend today   #BackToWork,Positive,"For those about to get kids to rock @bookitprogram, we salute you. #NationalTeachersDay",Negative
"Finals Week is almost a wrap. Watch, unwind and let your mind drift to thoughts of a delicious Egg McMuffin.",Positive,Congratulations to Prince Harry and the Duchess of Sussex! We all love a perfect delivery.  #royalbaby,Positive
She's dedicated to her education & career. We’re dedicated to her. Get money for college w/ Archways to Opportunity: http://McDonalds.com/ArchwaysToOpportunity …,Positive,Spoiler alert: House Hut takes it all. ,Negative
"It's more of an art form than a formula. Step away from those notes, and enjoy a mental vacay with a delicious favorite.",Neutral,"We tried to use a #lightsaber to slice pizza. Long story short, we lost store #1138. #May4th #RIPGreg",Negative
Rule #1 for surviving a group project: assign someone to pick up everyone’s favorite McCafé drink.,Positive,"Cheers to new partnerships from galaxies far, far away. Oh, and 35% off menu priced items today when you use code ORIGAMIYODA online at checkout. Partic. Loc. Only.",Positive
